graph_name,balance,number_of_nodes,number_of_edges,node_of_max_density_subgraph,average_clustering,degree_assortativity_coefficient,local_efficiency,global_efficiency,diameter,average_shortest_path_length,wiener_index
complete-graph-015_0,True,800,1615,0.93875,0.1855952380952379,-0.07335527806406562,0.21531101190476176,0.170883505964892,12,6.6009949937421775,2109678.0
complete-graph-0160_0,True,888,1832,0.8536036036036037,0.035378235378235375,-0.09836241867791108,0.036737630487630506,0.19080564599889302,10,5.805844175629971,2286504.0
complete-graph-0160_1,False,971,3459,0.1627188465499485,0.06644349757120128,0.39182279963403266,0.08591288437571734,0.22822636191041468,9,4.892526569484112,2304062.0
complete-graph-0161_0,True,592,1499,0.5,0.029182632307632295,0.21359656536014032,0.031528951841451845,0.22862728573333277,10,4.986595097635707,872335.0
complete-graph-0161_1,False,805,2343,0.11304347826086956,0.07270177717382696,0.6093981793646764,0.10410336099865836,0.19628226692945822,12,5.825546182132814,1885205.0
complete-graph-0162_0,True,736,1721,0.25,0.051950698757764056,0.2706948118064832,0.05578506009891888,0.20377437465630982,10,5.4853039041703635,1483665.0
complete-graph-0162_1,False,853,2509,0.11723329425556858,0.06714206879023119,0.5957902787562545,0.08359634809926421,0.1948228318403587,11,5.828671521115753,2118011.0
complete-graph-0163_0,True,980,2276,0.25,0.0592581794622612,0.26749287323588744,0.0662165937803694,0.19204904249749963,11,5.784917971274312,2775083.0
complete-graph-0163_1,False,755,2081,0.10198675496688742,0.06650406274675853,0.6322393501566731,0.10574148654300591,0.20662751320856773,10,5.37033393644492,1528585.0
complete-graph-0164_0,True,1528,3917,0.47643979057591623,0.048353722339324584,0.21280166063366776,0.053358461516184154,0.1878514146478511,11,5.892269000915459,6874086.0
complete-graph-0164_1,False,765,2050,0.054901960784313725,0.04913612894005049,0.5703015670056639,0.0705024549230899,0.20819641003545092,9,5.336238579201314,1559409.0
complete-graph-0165_0,True,464,938,0.8254310344827587,0.029542966611932123,-0.11084187696945784,0.03022543787629994,0.21001411512680376,10,5.487134132717658,589406.0
complete-graph-0165_1,False,641,1657,0.19500780031201248,0.051371414163925884,0.5250252799781899,0.06109880657852582,0.2091944070885251,11,5.420719578783151,1111898.0
complete-graph-0166_0,True,1206,3271,0.6285240464344942,0.05254649073057064,0.16883414880432185,0.05778453013113072,0.20292077396624014,10,5.490745442909931,3989658.0
complete-graph-0166_1,False,849,2351,0.06595995288574794,0.07316265726159739,0.575419692383483,0.09689108245939822,0.19548560312055968,11,5.773762695290797,2078416.0
complete-graph-0167_0,True,933,2224,0.3333333333333333,0.047663899753931996,0.21837940352070154,0.051832519035091486,0.19884597645822188,10,5.616625036225384,2441985.0
complete-graph-0167_1,False,761,2252,0.2628120893561104,0.053761725936496016,0.6943846775308459,0.08450679164260913,0.21013668780983352,10,5.314582612905457,1536871.0
complete-graph-0168_0,True,982,2542,0.4847250509164969,0.04164352280441905,0.2098124573938494,0.043644383168314024,0.20530196086951127,10,5.4056835474836555,2603761.0
complete-graph-0168_1,False,752,2726,0.22872340425531915,0.08695744267552782,0.4310609989117254,0.13303291818027038,0.23943341783161462,9,4.677936510185002,1320937.0
complete-graph-0169_0,True,368,756,0.8478260869565217,0.05596316425120774,-0.026494398859669015,0.06016002415458938,0.23123616094373678,9,4.871001658571259,328929.0
complete-graph-0169_1,False,735,2546,0.0761904761904762,0.070907969581439,0.31537380315722047,0.09667141676665493,0.2420017656296361,9,4.634154479230384,1250040.0
complete-graph-016_0,True,1159,2336,0.899913718723037,0.12519002424093012,-0.05746596912616816,0.14037906697527017,0.14647676625848122,15,7.962976540135696,5343643.0
